query_id,recall
0,1
1,1
2,1
3,1
4,0.97
5,1
6,0.93
7,0.86
8,0.98
9,0.96
10,0.99
11,1
12,0.98
13,0.99
14,1
15,0.97
16,0.83
17,0.96
18,0.89
19,1
20,1
21,1
22,1
23,0.98
24,0.82
25,1
26,0.99
27,0.88
28,0.93
29,1
30,0.88
31,1
32,0.94
33,0.98
34,1
35,0.92
36,0.92
37,1
38,1
39,0.96
40,0.7
41,1
42,1
43,1
44,0.93
45,0.74
46,1
47,1
48,0.89
49,0.83
50,0.92
51,0.99
52,1
53,0.99
54,0.8
55,0.97
56,1
57,0.76
58,1
59,1
60,0.99
61,0.96
62,0.99
63,0.8
64,1
65,1
66,0.94
67,0.95
68,0.96
69,0.79
70,0.95
71,1
72,0.96
73,0.99
74,0.95
75,0.98
76,0.95
77,1
78,0.98
79,0.98
80,0.97
81,1
82,1
83,0.98
84,0.9
85,1
86,0.99
87,1
88,0.96
89,0.91
90,0.95
91,0.64
92,0.96
93,0.61
94,1
95,0.96
96,1
97,1
98,0.88
99,1
100,1
101,0.99
102,1
103,0.89
104,0.93
105,0.72
106,1
107,0.99
108,0.67
109,1
110,0.98
111,0.98
112,0.85
113,0.99
114,1
115,1
116,0.84
117,1
118,1
119,0.95
120,1
121,1
122,0.99
123,0.97
124,0.89
125,0.86
126,0.93
127,0.98
128,0.84
129,1
130,0.94
131,0.86
132,0.85
133,0.97
134,0.85
135,0.84
136,1
137,1
138,0.98
139,1
140,0.96
141,0.95
142,0.98
143,0.97
144,0.96
145,1
146,0.98
147,0.99
148,0.88
149,0.98
150,0.92
151,1
152,1
153,0.94
154,0.93
155,1
156,0.95
157,1
158,1
159,0.99
160,1
161,0.99
162,0.96
163,1
164,0.93
165,0.89
166,0.96
167,0.94
168,0.79
169,0.87
170,1
171,0.95
172,1
173,1
174,1
175,1
176,0.92
177,0.99
178,1
179,0.95
180,0.99
181,0.77
182,0.93
183,0.99
184,0.99
185,0.91
186,1
187,1
188,0.92
189,0.98
190,0.94
191,1
192,0.84
193,0.96
194,0.98
195,0.96
196,0.95
197,1
198,1
199,0.85
200,0.98
201,0.92
202,1
203,0.87
204,0.96
205,0.98
206,0.99
207,0.87
208,0.94
209,0.95
210,0.94
211,0.97
212,0.63
213,0.99
214,1
215,0.98
216,1
217,0.99
218,0.98
219,0.99
220,0.99
221,1
222,1
223,0.89
224,0.92
225,1
226,0.95
227,1
228,0.98
229,0.94
230,1
231,0.88
232,0.98
233,0.93
234,0.94
235,0.85
236,0.93
237,0.9
238,0.92
239,1
240,0.96
241,0.99
242,0.92
243,1
244,0.99
245,0.89
246,0.91
247,0.99
248,0.93
249,0.8
250,1
251,1
252,0.94
253,1
254,1
255,0.98
256,0.96
257,1
258,1
259,1
260,1
261,0.93
262,1
263,1
264,0.95
265,0.93
266,1
267,1
268,0.95
269,0.73
270,0.93
271,0.92
272,1
273,0.99
274,0.94
275,0.99
276,0.98
277,0.88
278,1
279,1
280,0.95
281,0.86
282,0.78
283,0.98
284,0.81
285,0.9
286,0.87
287,1
288,0.95
289,1
290,1
291,0.91
292,0.92
293,0.97
294,0.84
295,0.97
296,0.98
297,0.99
298,1
299,1
300,0.97
301,0.7
302,0.94
303,0.93
304,0.98
305,0.89
306,0.99
307,0.97
308,1
309,0.85
310,0.9
311,0.97
312,0.99
313,0.93
314,0.99
315,0.97
316,0.85
317,0.97
318,0.99
319,0.61
320,0.99
321,0.91
322,1
323,1
324,0.93
325,1
326,0.99
327,0.4
328,0.98
329,1
330,0.93
331,0.84
332,1
333,0.95
334,0.99
335,1
336,0.96
337,0.95
338,1
339,0.95
340,1
341,0.99
342,0.99
343,0.92
344,0.97
345,0.99
346,0.99
347,1
348,0.91
349,0.98
350,0.95
351,1
352,1
353,0.98
354,0.89
355,0.98
356,0.94
357,0.85
358,1
359,0.9
360,1
361,0.98
362,0.94
363,0.98
364,0.94
365,0.97
366,0.99
367,0.99
368,1
369,0.99
370,0.67
371,0.86
372,0.95
373,0.91
374,0.83
375,0.99
376,0.99
377,1
378,1
379,0.98
380,0.99
381,1
382,0.99
383,0.99
384,0.98
385,0.89
386,0.85
387,0.98
388,0.94
389,0.99
390,0.99
391,0.95
392,0.96
393,0.9
394,0.97
395,0.86
396,1
397,0.96
398,0.98
399,0.97
400,0.82
401,1
402,1
403,0.93
404,1
405,0.96
406,0.94
407,0.95
408,1
409,0.95
410,1
411,0.97
412,0.97
413,0.96
414,0.96
415,1
416,0.94
417,0.9
418,1
419,0.99
420,0.99
421,0.92
422,1
423,0.86
424,1
425,1
426,0.91
427,1
428,1
429,1
430,1
431,1
432,0.98
433,0.99
434,0.95
435,0.99
436,0.97
437,1
438,0.99
439,0.96
440,0.9
441,1
442,0.87
443,1
444,1
445,0.97
446,0.97
447,0.89
448,1
449,0.96
450,0.94
451,1
452,1
453,0.77
454,1
455,0.98
456,0.99
457,1
458,0.96
459,1
460,0.98
461,0.96
462,0.98
463,1
464,1
465,1
466,0.98
467,0.97
468,0.88
469,1
470,1
471,1
472,0.92
473,0.98
474,1
475,1
476,0.99
477,0.99
478,0.89
479,1
480,1
481,0.8
482,1
483,0.89
484,0.96
485,0.92
486,0.99
487,1
488,0.9
489,1
490,0.99
491,1
492,1
493,1
494,0.99
495,0.85
496,0.98
497,0.99
498,0.96
499,0.94
500,0.91
501,0.94
502,1
503,1
504,0.96
505,1
506,0.98
507,0.95
508,0.95
509,0.97
510,0.96
511,1
512,1
513,1
514,0.76
515,0.89
516,0.99
517,1
518,0.98
519,1
520,0.91
521,0.98
522,0.98
523,0.99
524,1
525,0.99
526,0.94
527,0.97
528,1
529,0.95
530,1
531,1
532,0.85
533,1
534,0.74
535,1
536,0.93
537,0.99
538,0.99
539,1
540,1
541,0.92
542,1
543,1
544,0.94
545,0.99
546,1
547,1
548,0.97
549,0.91
550,0.9
551,0.95
552,0.53
553,0.92
554,0.95
555,1
556,1
557,0.9
558,0.97
559,1
560,1
561,0.94
562,1
563,0.98
564,0.89
565,0.98
566,0.97
567,1
568,0.96
569,1
570,0.67
571,0.83
572,0.99
573,0.98
574,0.91
575,0.97
576,0.78
577,0.98
578,0.83
579,0.9
580,0.88
581,0.98
582,0.99
583,0.97
584,0.95
585,0.99
586,0.88
587,0.91
588,0.97
589,0.96
590,0.92
591,0.69
592,0.85
593,1
594,0.96
595,0.95
596,0.92
597,1
598,0.97
599,1
600,1
601,0.98
602,0.91
603,1
604,1
605,1
606,1
